SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,3585 Felton St,San Diego,CA,92104,849999,2,1,North Park,876,,1939,2,970,,Active,,,https://www.redfin.com/CA/San-Diego/3585-Felton-St-92104/home/5392378,SDMLS,220025464,N,Y,32.7435355,-117.1215806
MLS Listing,,Single Family Residential,4221 Calle Isabelino,San Diego,CA,92130,1598888,3,2.5,92130 - Carmel Valley,2182,4435,2000,2,733,26,Active,October-9-2022 01:00 PM,October-9-2022 04:00 PM,https://www.redfin.com/CA/San-Diego/4221-Calle-Isabelino-92130/home/4518737,CRMLS,NDP2210226,N,Y,32.9204446,-117.2241831
MLS Listing,,Single Family Residential,7261 Farmdale St,San Diego,CA,92114,670000,3,1.5,Encanto,1029,6300,1960,2,651,,Pre On-Market,,,https://www.redfin.com/CA/San-Diego/7261-Farmdale-St-92114/home/6015915,SDMLS,220025462,N,Y,32.6917321,-117.0385606
MLS Listing,,Single Family Residential,8135 Whelan Dr,San Diego,CA,92119,899999,4,2,San Carlos,1296,,1961,2,694,,Active,,,https://www.redfin.com/CA/San-Diego/8135-Whelan-Dr-92119/home/5418560,SDMLS,220025461,N,Y,32.8056805,-117.0204445
MLS Listing,,Single Family Residential,2233 Vallecitos,La Jolla,CA,92037,2998000,3,2,La Jolla,1581,5510,1955,2,1896,,Active,October-9-2022 01:00 PM,October-9-2022 04:00 PM,https://www.redfin.com/CA/La-Jolla/2233-Vallecitos-92037/home/4877127,SDMLS,220025455,N,Y,32.8553681,-117.2544531
MLS Listing,,Condo/Co-op,1550 Monterey Pine Dr. Dr Unit D,San Ysidro,CA,92173,463000,3,1.5,92173 - San Ysidro,978,,1978,2,473,240,Active,October-9-2022 02:00 PM,October-9-2022 05:00 PM,https://www.redfin.com/CA/San-Diego/1550-Monterey-Pine-Dr-92173/unit-D/home/6175730,CRMLS,PTP2206603,N,Y,32.5675843,-117.072508
MLS Listing,,Single Family Residential,4623 Kleefeld,San Diego,CA,92117,1300000,4,2,Clairemont,1599,,1975,2,813,,Active,October-9-2022 02:00 PM,October-9-2022 04:00 PM,https://www.redfin.com/CA/San-Diego/4623-Kleefeld-Ave-92117/home/4956757,SDMLS,220025452,N,Y,32.8291053,-117.1977448
MLS Listing,,Single Family Residential,4033 Epanow,San Diego,CA,92117,799000,4,2,Clairemont,1626,,1954,2,491,,Active,,,https://www.redfin.com/CA/San-Diego/4033-Epanow-Ave-92117/home/5149942,SDMLS,220025450,N,Y,32.8145358,-117.2025917
MLS Listing,,Condo/Co-op,2581 Escala Cir,San Diego,CA,92108,859900,2,2.5,Mission Valley,1526,250196,2005,2,563,411,Active,,,https://www.redfin.com/CA/San-Diego/2581-Escala-Cir-92108/home/22818488,SDMLS,220025449,N,Y,32.7816009,-117.1328558
MLS Listing,,Single Family Residential,4035 Fanuel St,San Diego,CA,92109,1999000,4,3,Pacific Beach,1778,4400,1960,2,1124,,Active,,,https://www.redfin.com/CA/San-Diego/4035-Fanuel-St-92109/home/182195252,SDMLS,220025447,N,Y,32.7920728,-117.2440574
MLS Listing,,Condo/Co-op,1441 9Th Ave #1604,San Diego,CA,92101,1149000,2,2,San Diego,1355,22202,2008,2,848,889,Active,,,https://www.redfin.com/CA/San-Diego/1441-Ninth-Ave-92101/unit-1604/home/18712210,SDMLS,220025446,N,Y,32.7202922,-117.1561395
MLS Listing,,Single Family Residential,7489 Healis Pl,San Diego,CA,92129,1295000,4,3.5,Rancho Penasquitos,2194,5884,2003,2,590,80,Active,October-9-2022 01:00 PM,October-9-2022 04:00 PM,https://www.redfin.com/CA/San-Diego/7489-Healis-Pl-92129/home/6600383,SDMLS,220025373,N,Y,32.9603617,-117.1572883
MLS Listing,,Single Family Residential,1407 Froude St,San Diego,CA,92107,1999999,3,2.5,Point Loma,2189,3500,2013,2,914,,Active,October-9-2022 01:00 PM,October-9-2022 04:00 PM,https://www.redfin.com/CA/San-Diego/1407-Froude-St-92107/home/46440571,SDMLS,220025444,N,Y,32.7344706,-117.2510101
MLS Listing,,Condo/Co-op,4019 Carmel View Rd #151,San Diego,CA,92130,750000,2,2,Carmel Valley,964,143927,1989,2,778,408,Active,,,https://www.redfin.com/CA/San-Diego/4019-Carmel-View-Rd-92130/unit-151/home/4507397,SDMLS,220025438,N,Y,32.9442409,-117.232624
MLS Listing,,Condo/Co-op,6737 Friars Rd #167,San Diego,CA,92108,589900,2,2,San Diego,1008,124809,1979,2,585,460,Active,October-9-2022 10:00 AM,October-9-2022 06:00 PM,https://www.redfin.com/CA/San-Diego/6737-Friars-Rd-92108/unit-167/home/5246474,SDMLS,220025436,N,Y,32.7665006,-117.17344
MLS Listing,,Single Family Residential,1558 Burton St,San Diego,CA,92111,1295000,5,3,Linda Vista,2302,,1995,2,563,,Active,,,https://www.redfin.com/CA/San-Diego/1558-Burton-St-92111/home/5243087,SDMLS,220025434,N,Y,32.7735716,-117.1730032
MLS Listing,,Single Family Residential,8859 Crestmore Ave,Spring Valley,CA,91977,729900,4,2,91977 - Spring Valley,1293,6000,1959,2,565,,Active,October-9-2022 11:00 AM,October-9-2022 05:00 PM,https://www.redfin.com/CA/Spring-Valley/8859-Crestmore-Ave-91977/home/6025072,CRMLS,PTP2206599,N,Y,32.7126211,-117.0177315
MLS Listing,,Single Family Residential,750 Twining Ave,San Diego,CA,92154,824900,5,2.5,92154 - Otay Mesa,2196,5100,1969,2,376,,Active,,,https://www.redfin.com/CA/San-Diego/750-Twining-Ave-92154/home/6162159,CRMLS,PTP2206600,N,Y,32.5825205,-117.0456871
MLS Listing,,Single Family Residential,9737 Caminito Doha,San Diego,CA,92131,899000,3,2.5,Scripps Ranch,1666,167515,1978,2,540,390,Active,October-9-2022 01:00 PM,October-9-2022 04:00 PM,https://www.redfin.com/CA/San-Diego/9737-Caminito-Doha-92131/home/4974480,SDMLS,220025431,N,Y,32.9002521,-117.1051312
MLS Listing,,Single Family Residential,4629 Mataro Dr,San Diego,CA,92115,870000,3,2,San Diego,1302,5121,1951,2,668,,Active,,,https://www.redfin.com/CA/San-Diego/4629-Mataro-Dr-92115/home/5474107,SDMLS,220025429,N,Y,32.7620567,-117.0579625
MLS Listing,,Single Family Residential,1311 Olivet St,La Jolla,CA,92037,2400000,4,2,La Jolla,1580,5950,1956,2,1519,,Active,,,https://www.redfin.com/CA/La-Jolla/1311-Olivet-St-92037/home/4908647,SDMLS,220025427,N,Y,32.8437685,-117.2682775
MLS Listing,,Single Family Residential,8931 Haveteur Way,San Diego,CA,92123,920000,4,2,Serra Mesa,1406,6600,1958,2,654,,Active,,,https://www.redfin.com/CA/San-Diego/8931-Haveteur-Way-92123/home/5170472,SDMLS,220025423,N,Y,32.8077313,-117.1357358
MLS Listing,,Single Family Residential,11743 Windcrest Ln,San Diego,CA,92128,1332000,4,3,Carmel Mountain Ranch,2428,5210,1991,2,549,48,Active,,,https://www.redfin.com/CA/San-Diego/11743-Windcrest-Ln-92128/home/4679081,SDMLS,220025421,N,Y,32.9720636,-117.0823272
MLS Listing,,Condo/Co-op,235 Market St #601,San Diego,CA,92101,799000,3,2,Downtown,1308,,2002,2,611,550,Active,,,https://www.redfin.com/CA/San-Diego/235-Market-St-92101/unit-601/home/6505387,SDMLS,220025422,N,Y,32.7111617,-117.1626416
MLS Listing,,Single Family Residential,5535 Churchward,San Diego,CA,92114,765000,3,2,San Diego,1133,,1947,2,675,,Active,,,https://www.redfin.com/CA/San-Diego/5535-Churchward-St-92114/home/5876165,SDMLS,220025419,N,Y,32.7038194,-117.076765
MLS Listing,,Townhouse,5055 Collwood Blvd #107,San Diego,CA,92115,550000,3,2,San Diego,1121,,1974,2,491,345,Active,,,https://www.redfin.com/CA/San-Diego/5055-Collwood-Blvd-92115/unit-107/home/5469292,SDMLS,220025416,N,Y,32.7695388,-117.0853841
MLS Listing,,Condo/Co-op,1885 Diamond St #116,San Diego,CA,92109,499995,1,1,Pacific Beach,653,,1975,2,766,483,Active,,,https://www.redfin.com/CA/San-Diego/1885-Diamond-St-92109/unit-116/home/5141805,SDMLS,220025415,N,Y,32.8034474,-117.2366666
MLS Listing,,Condo/Co-op,5211 Calle Rockfish #90,San Diego,CA,92154,685000,3,3.5,92154 - Otay Mesa,1626,687298,2020,2,421,340,Active,,,https://www.redfin.com/CA/San-Diego/5211-Calle-Rockfish-92154/unit-90/home/144891829,CRMLS,SW22209101,N,Y,32.5711362,-117.0218086
MLS Listing,,Condo/Co-op,16042 Caminito Tomas,San Diego,CA,92128,739000,2,2,92128 - Rancho Bernardo,1133,,1988,2,652,422,Active,October-9-2022 02:00 PM,October-9-2022 04:00 PM,https://www.redfin.com/CA/San-Diego/16042-Caminito-Tomas-92128/home/4254810,CRMLS,NDP2210210,N,Y,33.0064373,-117.079401
MLS Listing,,Single Family Residential,2731 E Evans Rd,San Diego,CA,92106,1798000,3,3,Point Loma,1931,2178,2004,2,931,136,Active,,,https://www.redfin.com/CA/San-Diego/2731-E-Evans-Rd-92106/home/6586354,SDMLS,220025411,N,Y,32.7311551,-117.2184349
MLS Listing,,Single Family Residential,3645 Yosemite St,San Diego,CA,92109,2095000,4,3,Crown Point,2177,,1960,2,962,,Active,October-9-2022 01:30 PM,October-9-2022 05:00 PM,https://www.redfin.com/CA/San-Diego/3645-Yosemite-St-92109/home/5179914,SDMLS,220025405,N,Y,32.7862077,-117.235621
MLS Listing,,Single Family Residential,5567 Las Alturas Ter,San Diego,CA,92114,675000,3,2,San Diego,1293,7200,1952,2,522,,Active,,,https://www.redfin.com/CA/San-Diego/5567-Las-Alturas-Ter-92114/home/5876305,SDMLS,220025403,N,Y,32.7024179,-117.0769948
MLS Listing,,Single Family Residential,11470 Westonhill Dr,San Diego,CA,92126,1055000,5,2.5,Mira Mesa,2138,,1973,2,493,11,Active,October-9-2022 01:00 PM,October-9-2022 04:00 PM,https://www.redfin.com/CA/San-Diego/11470-Westonhill-Dr-92126/home/4536432,SDMLS,220025402,N,Y,32.9335974,-117.1358736
MLS Listing,,Single Family Residential,7760 Parkdale Cv,San Diego,CA,92126,1095000,4,2,Mira Mesa,1750,8400,1972,2,626,,Active,,,https://www.redfin.com/CA/San-Diego/7760-Parkdale-Cv-92126/home/4579723,SDMLS,220025401,N,Y,32.9140974,-117.1554276
MLS Listing,,Single Family Residential,5435 Trojan Ave,San Diego,CA,92115,749000,3,2,92115 - San Diego,952,5227,1952,2,787,,Active,,,https://www.redfin.com/CA/San-Diego/5435-Trojan-Ave-92115/home/5509495,CRMLS,PTP2206595,N,Y,32.7546904,-117.0780521
MLS Listing,,Townhouse,207 5th #312,San Diego,CA,92101,275000,0,1,San Diego,311,,2008,2,884,713,Active,,,https://www.redfin.com/CA/San-Diego/207-Fifth-Ave-92101/unit-312/home/182191746,SDMLS,220025399,N,Y,32.7075604,-117.1599101
MLS Listing,,Single Family Residential,252 Mesa Ave,San Diego,CA,92173,995000,4,3,San Ysidro,1455,17206,1930,2,684,,Active,,,https://www.redfin.com/CA/San-Ysidro/252-Mesa-Ave-92173/home/6185095,SDMLS,220025396,N,Y,32.5567897,-117.0412733
MLS Listing,,Single Family Residential,3422 Whittier St,San Diego,CA,92106,1969900,4,4,Point Loma,2650,5000,1948,2,743,,Active,,,https://www.redfin.com/CA/San-Diego/3422-Whittier-St-92106/home/5354077,SDMLS,220025395,N,Y,32.7380499,-117.2244128
MLS Listing,,Condo/Co-op,8612 Arminda Cir #54,Santee,CA,92071,399000,2,2,Santee,958,127677,1987,2,416,444,Active,,,https://www.redfin.com/CA/Santee/8612-Arminda-Cir-92071/unit-54/home/5041103,SDMLS,220025390,N,Y,32.834894,-117.009672
MLS Listing,,Townhouse,16356 Avenida Venusto Unit B,Rancho Bernardo,CA,92128,850000,3,2.5,Rancho Bernardo,1632,368098,1990,2,521,580,Active,,,https://www.redfin.com/CA/San-Diego/16356-Avenida-Venusto-92128/unit-B/home/4253481,SDMLS,220025389,N,Y,33.010975,-117.07593
MLS Listing,,Townhouse,1323 Pacific Beach Dr Unit F,Pacific Beach,CA,92109,1295000,3,2.5,Pacific Beach,1643,,1992,2,788,400,Active,October-11-2022 10:00 AM,October-11-2022 12:00 PM,https://www.redfin.com/CA/San-Diego/1323-Pacific-Beach-Dr-92109/unit-F/home/5178234,SDMLS,220025386,N,Y,32.792734,-117.243991
MLS Listing,,Single Family Residential,3140 Xenophon St,San Diego,CA,92106,1999999,3,2,Point Loma,1682,14229,1956,2,1189,,Active,,,https://www.redfin.com/CA/San-Diego/3140-Xenophon-St-92106/home/5356298,SDMLS,220025385,N,Y,32.7371265,-117.2208182
MLS Listing,,Townhouse,9494 High Park Ln,San Diego,CA,92129,950000,4,3,Rancho Penasquitos,1697,6135,1984,2,560,90,Active,,,https://www.redfin.com/CA/San-Diego/9494-High-Park-Ln-92129/home/4763025,SDMLS,220025382,N,Y,32.9577689,-117.1195354
